n,100
0,mean,2.8101966381073
0,std_dev,0.5129693083752936
1,mean,4.9293039464950565
1,std_dev,0.9367820837527672
2,mean,8.867908561229706
2,std_dev,2.0843625784640696
3,mean,4.833471677303314
3,std_dev,1.1245314025439117
4,mean,4.733658719062805
4,std_dev,0.7509047515027177
5,mean,0.6548341751098633
5,std_dev,3.289397680887626
6,mean,2.631808297634125
6,std_dev,0.37981009608050204
7,mean,0.6823362445831299
7,std_dev,3.4953289669392356
8,mean,2.133683929443359
8,std_dev,0.4466840136315694
9,mean,2.943994541168213
9,std_dev,0.6256166198238611
10,mean,0.00033074140548706055
10,std_dev,0.00019449054257312875
11,mean,0.00022299766540527345
11,std_dev,8.565915955427313e-05
12,mean,3.0102180886268615
12,std_dev,1.204975553841016
13,mean,1.8142284274101257
13,std_dev,0.7614031615061286
14,mean,3.8261213541030883
14,std_dev,0.6532891321951865
15,mean,47.43330047369003
15,std_dev,11.120171763829086
all,mean,5.706601175814867
all,std_dev,11.431081153427147
sum,mean,91.30561881303787
sum,std_dev,17.201869190648587
